ax, ay, az, gx, gy, gz, temp
-15972,-1696,-3012,322,-13295,2044,268438473
-16256,-1796,-1948,763,-18803,2045,268438473
-15732,-1688,-488,1254,-23090,1532,268438473
-15792,-1348,656,1417,-26461,1348,268438473
-15316,-1120,2252,1572,-28758,1301,268438473
-15404,-1256,4928,911,-30310,799,268438473
-14008,-1004,5996,-127,-30468,391,268438473
-13876,-644,6184,-476,-31549,249,268438473
-13456,-672,8368,-105,-30131,308,268438473
-11840,-460,9140,-96,-27096,411,268438473
-10068,-1048,9632,404,-27290,927,268438473
-9536,-732,12220,1946,-27247,1394,268438473
-8860,-684,13660,1295,-23293,1026,268438473
-8116,-692,12312,476,-20665,1320,268438473
-6392,-992,12512,2097,-21589,1450,268438473
-5452,-552,14732,2862,-19101,1970,268438473
-5416,-236,16072,2864,-19490,2017,268438473
-4520,76,15236,2063,-18303,1321,268438473
-3076,280,15264,1475,-15331,410,268438473
-2324,-252,15844,2379,-14049,775,268438473
-1852,96,15752,3878,-16047,1728,268438473
-696,504,15820,4340,-16755,2061,268438473
388,1004,16516,3174,-14716,1267,268438473
464,1280,16608,2139,-13668,835,268438473
1220,900,16128,2359,-15434,1443,268438473
2556,1096,15740,3191,-16647,1592,268438473
3268,1480,16040,3133,-16417,1607,268438473
3944,1752,16296,2096,-16626,1156,268438473
4888,1656,15640,1751,-16710,1360,268438473
5584,1692,15384,1782,-17108,1611,268438473
6536,1696,14680,1692,-19063,1917,268438473
7596,1884,14404,1827,-19158,1493,268438473
8184,1832,14092,1486,-17832,1542,268438473
8956,1880,13712,1527,-18350,1836,268438473
10108,1720,12652,1783,-18769,1559,268438473
10732,1712,12204,2278,-17940,994,268438473
11436,2372,11776,2168,-18836,902,268438473
12512,2248,10868,1216,-19844,1214,268438473
13088,1876,9788,1401,-19094,1247,268438473
13996,2212,9368,1139,-19918,1742,268438473
14084,2128,8728,438,-19767,1927,268438473
14656,1424,7408,234,-17887,1712,268438473
15116,1364,6564,347,-16034,1600,268438473
15488,1712,5776,250,-13849,1764,268438473
16012,1624,5148,-146,-12860,1493,268438473
15948,1196,4228,219,-12836,1451,268438473
15996,1456,4040,319,-13215,1149,268438473
16392,1468,3316,308,-13215,1232,268438473
16392,1544,2600,553,-12673,1293,268438473
16380,1540,2040,408,-13538,1325,268438473
16480,1164,1156,315,-14876,1161,268438473
16700,924,148,1013,-13988,930,268438473
17040,1120,-428,571,-11399,700,268438473
17036,1232,-1268,181,-8797,883,268438473
17240,872,-1524,-411,-5350,1212,268438473
17164,856,-1524,-762,-1873,683,268438473
17320,716,-1660,-625,1378,-406,268438473
17524,768,-1124,-161,5177,-746,268438473
17500,916,-692,-286,10405,-589,268438473
17068,1016,-480,-253,14498,-630,268438473
17260,1196,548,-216,17918,-1360,268438473
16788,1248,1816,16,19791,-1110,268438473
16668,1452,2780,-328,22760,-1113,268438473
16624,1244,4172,-346,24820,-1129,268438473
16108,1556,5464,-602,25285,-851,268438473
14844,1532,6884,-1054,25182,91,268438473
14076,1252,7704,-1552,24389,-109,268438473
13840,1328,8216,-304,23062,-667,268438473
13144,1560,10060,551,24931,-1320,268438473
12012,1636,10948,148,26540,-1464,268438473
11112,1928,12008,-1099,28609,-2003,268438473
9764,1352,12664,-159,27486,-1639,268438473
8128,1152,12844,2065,26005,-1187,268438473
6720,1460,14344,1727,27881,-2098,268438473
5720,1888,15384,972,28776,-3024,268438473
4648,2188,15060,1843,27334,-1999,268438473
2792,1868,15544,2116,24978,-1504,268438473
1644,1968,16020,628,21875,-1719,268438473
756,1864,16124,428,19455,-2344,268438473
-472,2228,15720,1294,13791,-1699,268438473
-1592,2100,15324,1658,12372,-1388,268438473
