ax,ay,az,gx,gy,gz
2560,-15724,1396,-14007,-7576,-2506
6096,-17816,208,-10825,-884,-5209
5628,-20168,-10820,-316,-2181,5777
4240,-18624,-5212,9595,-3580,3751
1968,-14384,-4508,-102,13195,-3129
1132,-11104,1452,341,6143,-1560
2516,-14660,11316,-5567,-33,-78
3084,-14532,10040,-13474,2175,-5229
4612,-18392,4436,-15856,521,-8269
11468,-7240,-4592,-7417,-12509,-11993
6984,-18388,-8208,1687,-4481,9336
-2852,-21056,-7452,13974,-1171,7308
704,-11900,-7184,2282,26205,-8764
2660,-8320,4672,1424,11583,-3720
2084,-11436,4260,2591,13382,3154
1420,-17628,10844,-2203,-4272,2735
2532,-15180,6744,322,-5219,2179
2212,-14684,4244,-2843,-10006,2718
8648,-8932,-16320,-1848,-13352,-3595
7024,-14768,-9644,10028,-6059,7974
6924,-19168,1652,8201,-4070,1765
552,-14336,3484,1823,20852,-5104
1864,-10884,-1192,3613,4816,-737
2228,-14796,7928,-1979,9267,-675
3528,-14716,6236,-2973,-1837,1825
2640,-16384,6572,-740,-5000,1749
2104,-12784,7440,-2641,-7542,413
744,-9824,-392,-5434,-14154,4156
1940,-14616,-1408,-3911,2345,4153
-1708,-21428,-4716,-4850,8527,972
-12,-12912,-3740,362,10356,-1672
2036,-10188,-668,2797,11199,-1964
3656,-12896,7040,2146,9348,279
3468,-16240,5364,1576,-481,3118
2892,-15508,6612,-407,-2721,1151
1804,-12352,6556,-5813,-9556,1636
-644,-9084,-516,-5576,-18078,5478
-1012,-17140,-4936,-3998,10079,8231
-3692,-24692,-5208,-8481,2573,-3205
4252,-15696,-1076,5903,-1540,-1519
56,-19200,-1676,10464,5113,-3541
3960,-14732,11784,8195,-3216,1229
1968,-16232,9052,-1647,-1184,4397
1372,-16120,8388,-1385,-8121,1350
1844,-12244,5648,-6076,-9087,1855
68,-7920,888,-8399,-15957,5760
-2908,-18228,-7220,-4353,12795,7486
-4292,-18516,-3372,-3773,-2592,-1196
-968,-14132,-6652,1168,7248,-2740
-2536,-15620,-9692,5529,3654,-2578
1748,-22368,1236,15125,3184,203
-1360,-11452,3800,5975,-7158,5271
560,-16716,17940,6043,725,-1757
184,-8884,11592,3173,469,696
1740,-13352,8076,-3907,-4763,420
140,-7116,2532,-12477,-12811,7227
-4828,-17492,-12432,-2284,-985,8004
-2164,-17564,-1668,-4806,-5532,-911
-3436,-18756,-7512,2215,9775,-7074
-2184,-17596,-3068,10641,-485,-2927
1912,-20148,4072,15956,1234,-3216
468,-6528,8856,3589,-1051,4833
1916,-13444,20520,6322,1830,-2021
860,-8028,12408,2931,-580,-1399
2408,-12096,16260,-4258,527,667
1716,-11904,14764,-9832,556,-1098
-1524,-18336,4144,-4722,4172,2444
-4768,-22120,-5312,5808,-1215,-8269
836,-16632,-1540,11683,2713,-4833
-4420,-19192,20832,9157,6106,-1718
1056,-9720,11632,7080,-2009,-2492
1192,-11128,18188,3718,-1680,621
2148,-10316,14208,-2515,1123,40
2064,-11100,14856,-7349,280,270
2652,-12568,12112,-11622,551,-477
960,-11300,7880,-7350,-8107,1451
-3956,-26152,-1736,-15725,14583,-434
